code_com,filiere,lambert_x,lambert_y
22132,Installation solaire photovoltaïque,"217685,00","6838456,00"
22133,Chaufferie bois,"309631,00","6799662,00"
22133,Installation solaire photovoltaïque,"309631,00","6799462,25"
22133,Installation solaire photovoltaïque,"311132,00","6801370,00"
22133,Unité de méthanisation,"309752,19","6798919,92"
22134,Installation solaire photovoltaïque,"229502,45","6872260,85"
22135,Installation solaire photovoltaïque,"232883,00","6848112,00"
22136,Chaufferie bois,"272006,00","6797220,00"
22136,Chaufferie bois,"273517,00","6801447,00"
22136,Chaufferie bois,"273517,00","6801647,00"
22136,Chaufferie bois,"277668,00","6801790,00"
22136,Eolienne,"269697,00","6803487,00"
22136,Eolienne,"269904,00","6804076,00"
22136,Eolienne,"270174,00","6804555,00"
22136,Eolienne,"270618,00","6804216,00"
22136,Eolienne,"272326,22","6802190,08"
22136,Installation fossile,"273044,01","6801546,95"
22136,Installation solaire photovoltaïque,"267797,00","6802882,00"
22136,Installation solaire photovoltaïque,"269077,00","6802124,00"
22136,Installation solaire photovoltaïque,"272677,00","6800024,00"
22136,Installation solaire photovoltaïque,"273292,00","6799347,00"
22136,Installation solaire photovoltaïque,"273516,70","6801546,95"
22136,Installation solaire photovoltaïque,"273517,00","6801647,00"
22136,Installation solaire photovoltaïque,"274217,00","6800447,00"
22136,Unité de méthanisation,"271279,05","6803918,62"
22136,Unité de méthanisation,"271753,97","6800469,65"
22136,Unité de méthanisation,"272005,94","6797119,85"
22137,Chaufferie bois,"224555,40","6818203,95"
22137,Chaufferie bois,"226171,04","6816045,53"
22137,Chaufferie bois,"226240,32","6816073,17"
22138,Eolienne,"235975,75","6831576,50"
22138,Eolienne,"235986,02","6831318,00"
22138,Eolienne,"235989,55","6831073,00"
22138,Eolienne,"236207,27","6830821,50"
22138,Eolienne,"236228,48","6831203,50"
22138,Eolienne,"236268,95","6831513,00"
22138,Eolienne,"236294,39","6831810,00"
22139,Eolienne,"243697,94","6827428,50"
22139,Eolienne,"243818,98","6829282,00"
22139,Eolienne,"243850,78","6827809,00"
22139,Eolienne,"244014,40","6828210,50"
22139,Eolienne,"244038,30","6829114,00"
22139,Eolienne,"244063,47","6828537,96"
22139,Installation solaire photovoltaïque,"240707,00","6828245,00"
22139,Installation solaire photovoltaïque,"243341,00","6829259,00"
22139,Unité de méthanisation,"243693,08","6828716,22"
22140,Chaufferie bois,"293581,00","6824796,00"
22144,Chaufferie bois,"268970,00","6838194,00"
22144,Installation hydroélectrique,"269820,03","6838511,52"
22144,Installation solaire photovoltaïque,"268479,00","6838643,00"
22147,Chaufferie bois,"297851,00","6801608,00"
22147,Chaufferie bois,"298517,00","6800934,00"
22147,Eolienne,"301911,00","6799804,00"
22147,Eolienne,"302049,00","6799479,00"
22147,Installation solaire photovoltaïque,"295012,00","6802851,00"
22147,Installation solaire photovoltaïque,"299075,00","6801477,00"
22147,Installation solaire photovoltaïque,"299105,55","6801019,50"
22147,Installation solaire photovoltaïque,"299106,00","6801120,00"
22147,Installation solaire photovoltaïque,"299404,00","6801034,00"
22147,Installation solaire photovoltaïque,"299731,00","6797783,00"
22147,Installation solaire photovoltaïque,"300514,00","6796551,00"
22147,Installation solaire photovoltaïque,"300744,00","6802048,00"
22147,Installation solaire photovoltaïque,"301358,00","6803835,00"
22147,Unité de méthanisation,"300254,18","6797121,62"
22148,Unité de méthanisation,"299202,01","6807170,32"
22149,Chaufferie bois,"261712,00","6813593,00"
22152,Installation solaire photovoltaïque,"240497,00","6870460,00"
22152,Installation solaire photovoltaïque,"240497,20","6870360,10"
22156,Eolienne,"238171,28","6844442,00"
22156,Eolienne,"238213,73","6844758,00"
22156,Eolienne,"238330,47","6845088,00"
22156,Eolienne,"238401,61","6845381,00"
22157,Installation solaire photovoltaïque,"219368,55","6816641,70"
22157,Installation solaire photovoltaïque,"219385,00","6816723,00"
22158,Chaufferie bois,"258765,00","6805326,00"
22158,Eolienne,"261350,00","6804958,00"
22158,Eolienne,"261615,00","6804665,00"
22158,Eolienne,"262000,00","6804717,00"
22158,Eolienne,"262240,00","6804399,00"
22158,Installation solaire photovoltaïque,"258765,10","6805226,40"
22162,Installation fossile,"253725,28","6870872,35"
22162,Installation fossile,"255309,27","6870196,60"
22162,Installation solaire photovoltaïque,"252593,00","6870730,00"
22162,Installation solaire photovoltaïque,"255981,00","6870297,00"
22162,Installation solaire photovoltaïque,"255981,45","6870196,60"
22163,Installation solaire photovoltaïque,"220883,00","6811194,00"
22164,Chaufferie bois,"237653,00","6850476,00"
22164,Chaufferie bois,"238424,00","6851196,00"
22165,Unité de méthanisation,"292418,35","6820051,43"
22166,Installation fossile,"237472,14","6874382,17"
22166,Installation fossile,"239669,09","6876571,25"
22166,Installation solaire photovoltaïque,"236518,00","6876438,00"
22166,Installation solaire photovoltaïque,"237025,00","6875868,00"
22166,Installation solaire photovoltaïque,"237681,00","6876609,00"
22166,Installation solaire photovoltaïque,"237771,00","6875357,00"
22166,Installation solaire photovoltaïque,"238036,00","6874563,00"
22168,Installation fossile,"225487,44","6874987,44"
22170,Installation solaire photovoltaïque,"266716,00","6831706,00"
22170,Installation solaire photovoltaïque,"266916,55","6832174,25"
22170,Installation solaire photovoltaïque,"266917,00","6832274,00"
22170,Unité de méthanisation,"266675,37","6831648,98"
22170,Unité de méthanisation,"267705,19","6831059,76"
22171,Chaufferie bois,"272643,00","6830250,00"
22171,Unité de méthanisation,"268761,54","6825442,01"
22171,Unité de méthanisation,"268782,09","6824998,28"
22171,Unité de méthanisation,"271526,98","6831421,87"
22174,Installation solaire photovoltaïque,"307159,05","6846043,70"
22174,Unité de méthanisation,"309149,61","6844600,40"
22175,Chaufferie bois,"303660,00","6831924,00"
22175,Installation solaire photovoltaïque,"300100,00","6834821,00"
22175,Installation solaire photovoltaïque,"301160,00","6833404,00"
22175,Installation solaire photovoltaïque,"303660,00","6831824,00"
22178,Installation fossile,"259237,13","6859690,33"
22178,Installation solaire photovoltaïque,"256743,00","6860630,00"
22178,Unité de méthanisation,"258476,41","6859626,46"
22180,Chaufferie bois,"313915,00","6827637,00"
22180,Chaufferie bois,"315212,00","6825055,00"
22180,Installation solaire photovoltaïque,"313671,00","6826733,00"
22180,Installation solaire photovoltaïque,"313671,00","6826933,00"
22180,Installation solaire photovoltaïque,"314485,00","6825349,00"
22180,Installation solaire photovoltaïque,"315530,00","6824676,00"
22182,Chaufferie bois,"263577,00","6844975,00"
22182,Chaufferie bois,"263577,00","6845075,00"
22182,Chaufferie bois,"263577,00","6845175,00"
22182,Chaufferie bois,"263677,00","6845075,00"
22182,Installation hydroélectrique,"260426,46","6845103,59"
22182,Installation solaire photovoltaïque,"260064,00","6844082,00"
22182,Installation solaire photovoltaïque,"263097,00","6843144,00"
22182,Installation solaire photovoltaïque,"263281,00","6846485,00"
22182,Installation solaire photovoltaïque,"263577,00","6844875,00"
22182,Installation solaire photovoltaïque,"263577,00","6845075,00"
22182,Unité de méthanisation,"262783,43","6844280,12"
